ID,IMMAGINE,DOMANDA,RISPOSTA 1,RISPOSTA 1 V/F,RISPOSTA 2,RISPOSTA 2 V/F,RISPOSTA 3,RISPOSTA 3 V/F,PROGRESSIVO,CAPITOLO,TEMA,VOCE
1109,,L'elemento sensibile della bussola è dato da:,sospensione cardanica.,F,rosa graduata.,F,equipaggio magnetico (piccoli magneti interni).,V,1.7.4-29,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,Bussole magnetiche
1110,,"Gli aghi magnetici della bussola magnetica, installata su di un'imbarcazione, si orientano verso il:",nord bussola.,V,nord magnetico.,F,nord vero.,F,1.7.4-30,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,Bussole magnetiche
1111,,L'orientamento della linea di fede di una bussola è:,in funzione della direzione del nord magnetico.,F,parallelo all'asse longitudinale dell'unità.,V,parallelo all'asse trasversale dell'unità.,F,1.7.4-31,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,Bussole magnetiche
1112,,La declinazione varia:,al variare della posizione geografica dell'unità.,V,non deve mai variare.,F,al variare della prora dell'unità.,F,1.7.4-32,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,Bussole magnetiche
1113,,La rosa di una bussola è graduata:,da 0 a 180 gradi a dritta e a sinistra.,F,da 0 a 360 gradi in senso orario misurati cominciando da prora.,F,da 0 a 360 gradi in senso orario misurati cominciando dalla direzione del Nord bussola (Nb).,V,1.7.4-33,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,Bussole magnetiche
1114,,La declinazione magnetica è indicata con il segno:,Est-Ovest (rispettivamente negativa e positiva).,F,Est-Ovest (rispettivamente positiva e negativa).,V,Nord-Sud (rispettivamente positiva e negativa).,F,1.7.4-34,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,Bussole magnetiche
1115,,"Da un punto di vista teorico, in quale particolare caso  la bussola magnetica di bordo si orienta esattamente verso il nord magnetico?",in nessun caso.,F,"nel caso a bordo non ci sia alcuna influenza magnetica, come su una barca in legno in cui non sono presenti elementi ferrosi e apparecchiature elettriche di qualsiasi genere.",V,"in nessun caso, in quanto tutti i materiali, prima o poi, risentono del campo magnetico terrestre.",F,1.7.4-35,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,Bussole magnetiche
1116,,La linea di fede della bussola:,compensa la deviazione causata dai materiali ferrosi presenti a bordo.,F,mantiene la prora prestabilita.,V,indica il nord.,F,1.7.4-36,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,Bussole magnetiche
1117,,Quale metodo posso utilizzare per controllare la deviazione della mia bussola?,metodo dell'allineamento; metodo dell'osservazione della stella polare.,V,metodo del cerchio capace.,F,metodo del rilevamento di un punto cospicuo e della relativa distanza.,F,1.7.4-37,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,Bussole magnetiche
1118,,La deviazione magnetica ha segno:,positivo se il nord magnetico e nord bussola coincidono.,F,negativo se il nord bussola si trova a Est del nord magnetico e segno positivo se il nord bussola si trova a Ovest del nord magnetico.,F,positivo se il nord bussola si trova a Est del nord magnetico e segno negativo se il nord bussola si trova a Ovest del nord magnetico.,V,1.7.4-38,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,Bussole magnetiche
1119,,La declinazione magnetica è causata dal magnetismo:,terrestre.,V,di bordo in funzione del magnetismo terrestre.,F,di bordo.,F,1.7.4-39,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,Bussole magnetiche
1120,,La deviazione magnetica è causata dal magnetismo:,di bordo in funzione del magnetismo terrestre.,F,di bordo.,V,terrestre.,F,1.7.4-40,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,Bussole magnetiche
1121,,La linea di fede:,indica la direzione prodiera dell'asse longitudinale dell'unità.,V,si orienta verso il nord bussola.,F,è trasversale alla direzione dell'asse longitudinale dell'unità.,F,1.7.4-41,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,Bussole magnetiche
1122,,La deviazione magnetica varia in funzione:,degli anni trascorsi dalla pubblicazione della carta nautica.,F,della prora che si intende impostare.,V,del luogo in cui ci si trova.,F,1.7.4-42,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,Bussole magnetiche
1123,,"Per la conversione/correzione dell’angolo di prora disponibile, il valore della deviazione magnetica si legge:",sulla tabella delle deviazioni residue dopo aver fatto eseguire la compensazione dal perito compensatore.,V,sulla certificazione rilasciata dal produttore che deve sempre essere allegata alla bussola stessa.,F,al centro della rosa dei venti delle carte nautiche: bisogna ricordarsi di aggiornare il valore iniziale.,F,1.7.4-43,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,Bussole magnetiche
1124,,"Il riferimento di una bussola, sotto il quale si legge l’angolo di prora, è:",la chiesuola.,F,il puntale.,F,la linea di fede.,V,1.7.4-44,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,Bussole magnetiche
1125,,Quando si installa la bussola magnetica sull'imbarcazione da diporto ci si deve assicurare che la linea di fede:,sia parallela all’asse longitudinale (chiglia) dell’imbarcazione.,V,sia sempre in ogni caso puntata esattamente sulla prora.,F,sia orientata verso il nord (magnetico o bussola).,F,1.7.4-45,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,Bussole magnetiche
1126,,Il nord indicato dalla bussola a bordo di un'imbarcazione in navigazione è denominato:,nord magnetico: perché i magneti vengono attratti dal campo magnetico terrestre.,F,nord vero: quello che stiamo veramente seguendo.,F,nord bussola: che è quello dato da quella specifica bussola.,V,1.7.4-46,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,Bussole magnetiche
1127,,"La ""variazione magnetica"" della bussola magnetica è uguale alla declinazione magnetica se:","la bussola predetta è a bordo di un'unità in legno o vetroresina, in assenza di masse ferrose ed apparecchiature elettriche nelle vicinanze della stessa.",V,"la declinazione magnetica ""assorbe"" la deviazione magnetica.",F,il nord vero si orienta verso il nord magnetico.,F,1.7.4-47,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,Bussole magnetiche
1128,,"In assenza di campi magnetici esterni, una bussola magnetica a terra indica la direzione del:",Nb.,F,Nm.,V,Nv.,F,1.7.4-48,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,Bussole magnetiche
1129,,La sospensione cardanica della bussola magnetica:,consente di mantenere la linea di fede parallela all'asse longitudinale dell'unità.,F,è il  collegamento tra il perno di sospensione e la rosa graduata.,F,consente di mantenere detta bussola parallela al piano orizzontale.,V,1.7.4-49,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,Bussole magnetiche
1130,,Quali tra questi strumenti e dotazioni non forniscono una posizione stimata?,il GPS e il radar.,V,il solcometro (log) e bussola magnetica.,F,l'orologio di bordo e le squadrette nautiche.,F,1.7.5-1,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1131,,"Relativamente alla navigazione stimata, si può affermare che:","solitamente i problemi di navigazione stimata sono risolti attraverso il metodo grafico, utilizzando le carte nautiche, le squadrette e il compasso.",V,i problemi di navigazione stimata sono risolti solo attraverso l'ausilio del GPS.,F,solitamente i problemi di navigazione stimata sono risolti attraverso il punto nave astronomico.,F,1.7.5-2,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1132,,"Relativamente alla navigazione stimata, si può affermare che:",può essere effettuata per intervalli di tempo non superiori alle sei ore.,F,se effettuata per un lungo intervallo temporale può determinare lo spostamento della posizione stimata dell'unità di svariate miglia nautiche rispetto alla sua posizione reale.,V,in presenza di foschia non può essere effettuata per un intervallo di tempo superiore a tre ore.,F,1.7.5-3,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1133,,In cosa consiste l'adozione del criterio di sicurezza nell'ambito della pianificazione di una navigazione stimata?,mantenere l'unità navale lontana da potenziali pericoli sia di natura antropica che di natura astronomica.,F,mantenere l'unità lontana da potenziali pericoli sia di natura idrografica che di natura meteorologica.,V,mantenere l'unità lontana da potenziali pericoli sia di natura radio-elettrica che di natura termo-dinamica.,F,1.7.5-4,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1134,,Qual è uno dei possibili criteri di sicurezza di natura idrografica che deve essere tenuto in considerazione nell'ambito della pianificazione di un percorso da effettuare mediante una navigazione stimata?,garantire che il fondo del mare non disti dalla superficie più del pescaggio dell'unità navale.,F,garantire che il fondo del mare disti dalla superficie meno del pescaggio dell'unità navale.,F,garantire che la distanza tra il fondo e la superficie del mare non risulti inferiore al pescaggio dell'unità navale.,V,1.7.5-5,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1135,,Qual è uno dei possibili criteri di sicurezza di natura meteorologica che deve essere tenuto in considerazione nell'ambito della pianificazione di un percorso da effettuare mediante una navigazione stimata?,"evitare la possibile presenza di ghiacci, nebbia e tempesta.",V,"evitare la possibile presenza di cirri, alta pressione e fronte caldo.",F,"evitare la possibile presenza di anticiclone, cumulonembi e pressione livellata.",F,1.7.5-6,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1136,,"Relativamente alla navigazione stimata, si può affermare che:",la corretta conoscenza e valutazione della distribuzione dei pesi a bordo consentono al navigante di acquisire una velocità superiore a quella prevista dalla casa costruttrice.,F,la corretta conoscenza e valutazione della distribuzione dei pesi a bordo consentono al navigante di acquisire una velocità inferiore a quella di crociera.,F,"la corretta conoscenza e valutazione degli effetti causati dal vento e dalla corrente consentono, di contrastarne le conseguenze, modificando adeguatamente la direzione della prua e della velocità propulsiva della propria unità.",V,1.7.5-7,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1137,,"Avuto riguardo al concetto di navigazione stimata, quale tra queste affermazioni è corretta?",la navigazione stimata consente al navigante esperto di effettuare delle comunicazioni radio più  nitide.,F,"l'esperienza marinaresca maturata nella condotta della navigazione contribuisce a far sì che il navigante possa conoscere, in ogni istante, la più probabile posizione raggiunta con la propria unità navale.",V,la navigazione stimata consente al navigante esperto di effettuare dei punti nave costieri più accurati.,F,1.7.5-8,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1138,,"Avuto riguardo al concetto di navigazione stimata, cosa si intende per punto stimato?",un punto che rappresenta la posizione dell'unità navale ottenuta mediante due rilevamenti simultanei.,F,un punto che rappresenta l'esatta posizione dell'unità navale.,F,un punto che rappresenta in maniera approssimata la posizione dell'unità.,V,1.7.5-9,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1139,,Come si risolvono di massima i problemi della navigazione stimata?,geometricamente mediante l'intersezione di due o più rilevamenti.,F,graficamente mediante l'utilizzo della carta nautica del Mercatore la quale rettifica le lossodromie.,V,analiticamente mediante l'osservazione astronomica.,F,1.7.5-10,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1140,,Quali possono essere i fattori che concorrono a rendere il punto nave stimato non preciso?,il margine di errore dei rilevamenti costieri effettuati durante la navigazione.,F,"scarroccio, deriva, declinazione magnetica e deviazione magnetica.",V,la differenza di rilevamento tra i rilevamenti costieri effettuati durante la navigazione.,F,1.7.5-11,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1141,,"Dovendo effettuare un atterraggio, a conclusione di una navigazione stimata, è opportuno considerare che:",la posizione stimata non può differire di oltre mezzo miglio nautico rispetto alla posizione effettiva.,F,"la posizione stimata rappresenta di fatto il centro di una zona di incertezza, la cui estensione può risultare anche molto vasta.",V,la posizione stimata non può differire di oltre un quarto di miglio nautico rispetto alla posizione effettiva.,F,1.7.5-12,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1142,,Qual è l'unità di misura per le velocità in mare?,il metro al secondo.,F,il nodo.,V,il chilometro orario.,F,1.7.5-13,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1143,,"Considerato il calcolo delle velocità in mare, a cosa corrisponde il nodo?",a un miglio marino percorso in un'ora.,V,a un chilometro percorso in un'ora.,F,a un metro percorso in un secondo.,F,1.7.5-14,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1144,,"Avuto riguardo alla navigazione stimata, volendo calcolare il valore della velocità riferita ad un percorso stimato, effettuato in un determinato intervallo temporale, quale tra le seguenti formule dovrà essere applicata?","S = V * T, dove V si esprime in nodi (miglia nautiche orarie) e T in ore e decimi di ora.",F,"V = S / T, dove S si esprime in miglia nautiche e T in ore e decimi di ora.",V,"T = S / V, dove S si esprime in miglia nautiche e V in nodi (miglia nautiche orarie).",F,1.7.5-15,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1145,,"Avuto riguardo alla navigazione stimata, volendo calcolare il valore del percorso stimato compreso tra due punti, considerando la velocità propulsiva della propria unità navale e l'intervallo temporale impiegato per percorrerlo, quale tra le seguenti formule dovrà essere applicata?","V = S / T, dove S si esprime in miglia nautiche e T in ore e decimi di ora.",F,"T = S / V, dove S si esprime in miglia nautiche e V in nodi (miglia nautiche orarie).",F,"S = V * T, dove V si esprime in nodi (miglia nautiche orarie) e T in ore e decimi di ora.",V,1.7.5-16,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1146,,"Avuto riguardo alla navigazione stimata, volendo calcolare l'intervallo temporale necessario per percorrere la distanza tra due punti ad una determinata velocità propulsiva, quale tra le seguenti formule dovrà essere applicata?","T = S / V, dove S si esprime in miglia nautiche e V in nodi (miglia nautiche orarie).",V,"S = V * T, dove V si esprime in nodi (miglia nautiche orarie) e T in ore e decimi di ora.",F,"V = S / T, dove S si esprime in miglia nautiche e T in ore e decimi di ora.",F,1.7.5-17,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1147,,Quali possono essere gli strumenti nautici utilizzabili per la misurazione del valore di una rotta stimata tracciata sulla carta nautica del Mercatore?,squadrette nautiche e parallele.,V,pantografi.,F,aerografi e grafometri.,F,1.7.5-18,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1148,,"Avuto riguardo alla navigazione costiera, a cosa serve principalmente il compasso nautico nelle operazioni di carteggio?",al calcolo delle distanze e all'individuazione delle coordinate geografiche.,V,al tracciamento degli angoli di rotta e dei rilevamenti.,F,alla misurazione delle velocità dei bersagli individuati dal radar.,F,1.7.5-19,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1149,,Un miglio marino equivale a:,1.825 metri.,F,1.852 metri.,V,1.609 metri.,F,1.7.5-20,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1150,,Definizione di miglio nautico:,"è la lunghezza dell'arco di meridiano ampio un sessantesimo di grado (1', un primo).",V,è la lunghezza dell'arco di equatore ampio un grado.,F,è la lunghezza dell'arco di cerchio massimo ampio un grado.,F,1.7.5-21,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1151,,Qual è la causa più importante dell'imprecisione del punto stimato?,errori nella misura della velocità con il solcometro.,F,errori nella prora vera (Pv).,F,errori soggettivi nella conoscenza e/o nell'apprezzamento dello scarroccio e della deriva.,V,1.7.5-22,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1152,,Gli strumenti della navigazione stimata sono:,bussola e solcometro (per misura della velocità propria).,F,"bussola, solcometro (per misura della velocità propria) e orologio.",V,esclusivamente l'orologio.,F,1.7.5-23,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1153,,"Una nave che percorre 12 miglia in due ore, a che velocità sta navigando?",12 miglia all'ora.,F,6 nodi.,V,6 k/h.,F,1.7.5-24,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1154,,Il nodo è:,la velocità di 1850 metri all'ora.,F,"la grandezza che equivale a 1.850 metri, pari alla lunghezza di 1' (un primo) di Longitudine.",F,l'unità di misura della velocità della nave.,V,1.7.5-25,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1155,,Il miglio marino è l'unità di misura:,delle distanze in mare.,V,dell'angolo che si forma tra le rotte di due imbarcazioni.,F,degli angoli in mare.,F,1.7.5-26,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1156,,"Una nave in navigazione a 16 nodi effettivi, in 15 minuti percorrerà:",5 miglia.,F,"4,50 miglia.",F,4 miglia.,V,1.7.5-27,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1157,,La navigazione è stimata se la determinazione:,del punto nave stimato è in funzione della prora impostata e delle miglia percorse in un dato intervallo di tempo.,V,della rotta vera coincide con la rotta bussola.,F,del punto nave è in funzione degli elementi in vista della costa.,F,1.7.5-28,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1158,,Il punto stimato per il navigante:,"può, in lunghe navigazioni con cielo coperto, validamente sostituire un punto astronomico di difficile o impossibile esecuzione.",F,"è insostituibile, ma insufficiente per condurre la navigazione in sicurezza.",V,è preciso ed affidabile in ogni circostanza.,F,1.7.5-29,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1159,,Per determinare il punto stimato bisogna conoscere i seguenti elementi:,"rotta vera Rv, velocità effettiva, posizione iniziale.",F,"prora vera Pv, velocità propria, posizione iniziale, tempo trascorso.",V,"moto proprio, deriva, scarroccio.",F,1.7.5-30,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1160,,"Una nave in navigazione a 15 nodi effettivi, in 45 minuti percorrerà:","10,75 miglia.",F,"11,25 miglia.",V,12 miglia.,F,1.7.5-31,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1161,,In un grado di latitudine sono compresi:,60 miglia.,V,120 miglia.,F,120 km.,F,1.7.5-32,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1162,,Per misurare la distanza tra due punti sulla carta nautica:,si tracciano i paralleli passanti per i due punti sino alla scala delle latitudini.,F,si tracciano le linee dai punti estremi della carta alla propria posizione.,F,con il compasso si misura la distanza tra i due punti e la si riporta sulla scala delle latitudini.,V,1.7.5-33,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1163,,"Una nave in navigazione a 15 nodi effettivi, in 35 minuti percorrerà:","9,25 miglia.",F,"8,75 miglia.",V,"7,75 miglia.",F,1.7.5-34,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1164,,"Una corretta navigazione stimata consiste, tra l'altro, anche nel calcolare:",esattamente con precisione la propria velocità istantanea.,F,"la posizione con la relazione ""S = V x T"" a ogni variazione di velocità.",V,la posizione approssimativa del punto di partenza.,F,1.7.5-35,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1165,,Il punto nave è ricavato:,con almeno tre o più luoghi di posizione.,F,con un luogo di posizione.,F,con almeno due luoghi di posizione.,V,1.7.5-36,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1166,,180 miglia corrispondono a:,3 gradi di latitudine.,V,180 Km.,F,1800 Km.,F,1.7.5-37,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1167,,In un grado di latitudine sono compresi:,30 secondi di arco.,F,60 secondi di arco.,F,60 primi di arco.,V,1.7.5-38,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1168,,"Una nave in navigazione a 9 nodi effettivi, in 45 minuti percorrerà:","6,75 miglia.",V,"6,25 miglia.",F,"5,75 miglia.",F,1.7.5-39,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1169,,Il luogo di posizione di egual differenza d'azimuth:,è quel luogo formato da una circonferenza i cui punti vedono due punti cospicui sulla costa sempre con lo stesso angolo e quindi con la stessa differenza di azimuth.,V,è quel luogo formato da una circonferenza i cui punti vedono un punto cospicuo sulla costa sempre con lo stesso angolo.,F,"è quel luogo che, per essere attendibile deve essere utilizzato necessariamente con altro luogo di posizione.",F,1.7.5-40,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1170,,"Una nave in navigazione a 19 nodi effettivi, in 15 minuti percorrerà:","4,25 miglia.",F,"4,75 miglia.",V,"4,50 miglia.",F,1.7.5-41,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1171,,Quanti primi sono contenuti in un miglio?,60' (sessanta primi) di latitudine.,F,1' (un primo) di latitudine.,V,10' (dieci primi) di latitudine.,F,1.7.5-42,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1172,,"Una nave in navigazione a 18 nodi effettivi, in 25 minuti percorrerà:","7,25 miglia.",F,"6,50 miglia",F,"7,50 miglia",V,1.7.5-43,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1173,,"Una nave in navigazione a 19 nodi effettivi, in 9 minuti percorrerà:","2,85 miglia.",V,"3,15 miglia",F,"2,25 miglia",F,1.7.5-44,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1174,,"Una nave in navigazione a 24 nodi effettivi, in 35 minuti percorrerà:","13,75 miglia.",F,14 miglia.,V,"14,50 miglia.",F,1.7.5-45,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1175,,"Una nave in navigazione a 22 nodi effettivi, in 15 minuti percorrerà:","5,25 miglia.",F,"6,50 miglia.",F,"5,50 miglia.",V,1.7.5-46,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1176,,"Una nave in navigazione a 22 nodi effettivi, in 45 minuti percorrerà:","15,5 miglia.",F,"16,5 miglia.",V,16 miglia.,F,1.7.5-47,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1177,,"Una nave in navigazione a 21 nodi effettivi, in 45 minuti percorrerà:","15,75 miglia.",V,"16,25 miglia.",F,"15,50 miglia.",F,1.7.5-48,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1178,,"Una nave in navigazione a 16 nodi effettivi, in 45 minuti percorrerà:","12,25 miglia.",F,12 miglia.,V,"12,50 miglia.",F,1.7.5-49,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1179,,1 miglio marino corrisponde alla:,sessantesima parte di un arco di latitudine di 1 grado.,V,trecentosessantesima parte di un arco di equatore di 1 grado.,F,sessantesima parte di un arco di longitudine di 1 grado.,F,1.7.5-50,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1180,,"Cosa significa l'affermazione ""velocità 5 nodi""?",che la velocità di navigazione è di 5 km ogni ora.,F,una distanza di 5 miglia.,F,che in un'ora si percorrono 5 miglia.,V,1.7.5-51,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1181,,Per misurare la distanza tra due punti sulla carta nautica in proiezione di mercatore si utilizza la scala:,"delle longitudini, alla stessa longitudine della zona di mare dove è stata misurata la distanza tra due punti.",F,"delle latitudini, alla stessa longitudine della zona dove è stata misurata la distanza tra due punti.",F,"delle latitudini, alla stessa latitudine della zona dove è stata misurata la distanza tra due punti.",V,1.7.5-52,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1182,,Un tratto di 4’.4 di latitudine corrispondono a:,4 miglia e 4 decimi di miglio.,V,4 miglia e 24 centesimi di miglio.,F,44 miglia esatte.,F,1.7.5-53,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1183,,"Applicata  la  formula  T = S : V (tempo = spazio diviso la velocità), si ricava 4,4. Ciò significa che la navigazione durerà:",4 ore e 40 minuti.,F,4 ore e 24 minuti.,V,4 ore e 14 minuti.,F,1.7.5-54,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1184,,Il punto nave stimato si determina con:,il GPS.,F,la formula S = V x T.,V,almeno due luoghi di posizione.,F,1.7.5-55,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1185,,S = 14 miglia; V = 10 nodi. Il tempo di navigazione sarà di:,1 ora e 14 minuti.,F,1 ora e 34 minuti.,F,1 ora e 24 minuti.,V,1.7.5-56,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1186,,"S = 11,6 miglia; V = 6 nodi. Il tempo di navigazione sarà di:",1 ora e 56 minuti.,V,2 ore e 06 minuti.,F,1 ora e 46 minuti.,F,1.7.5-57,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
1187,,"S = 12,4 miglia; V = 6 nodi. Il tempo di navigazione sarà di:",2 ore e 14 minuti.,F,2 ore e 4 minuti.,V,1 ora e 54 minuti.,F,1.7.5-58,BASE,NAVIGAZIONE CARTOGRAFICA ED ELETTRONICA,"Elementi di navigazione stimata: tempo, spazio e velocità"
